Date,Category,Type,Amount,Responsible_Person,Relation
01-01-2024,Man_Salary,Income,91525,Man,Self
01-01-2024,Spouse_Salary,Income,78430,Spouse,Spouse
01-01-2024,Freelance_Income,Income,5092,Man,Self
01-01-2024,House_Rent,Expense,7278,Man,Self
01-01-2024,Utilities,Expense,4556,Man,Self
01-01-2024,Groceries_Household,Expense,5269,Spouse,Spouse
01-01-2024,Transport,Expense,4572,Man,Self
01-01-2024,Medical_Expenses,Expense,9014,Shared,Children
01-01-2024,Emergency_Fund,Expense,11318,Man,Self
01-01-2024,Fixed_Deposits_Gold,Expense,7332,Spouse,Spouse
01-01-2024,Children_Education,Expense,6175,Man,Self
01-01-2024,Children_Activities,Expense,7100,Spouse,Spouse
02-01-2024,House_Rent,Expense,5879,Man,Self
02-01-2024,Maintenance_Charges,Expense,3206,Man,Self
02-01-2024,Insurance,Expense,6837,Man,Self
02-01-2024,Groceries_Household,Expense,6998,Spouse,Spouse
02-01-2024,Vacations_Travel,Expense,3544,Shared,Children
02-01-2024,Emergency_Fund,Expense,10575,Man,Self
02-01-2024,Fixed_Deposits_Gold,Expense,4656,Spouse,Spouse
02-01-2024,Children_Education,Expense,9689,Man,Self
03-01-2024,Utilities,Expense,4634,Man,Self
03-01-2024,Groceries_Household,Expense,3930,Spouse,Spouse
03-01-2024,Transport,Expense,3201,Man,Self
03-01-2024,Medical_Expenses,Expense,6621,Shared,Children
03-01-2024,Mutual_Funds_Stocks,Expense,11945,Man,Self
04-01-2024,Freelance_Income,Income,11743,Man,Self
04-01-2024,House_Rent,Expense,3394,Man,Self
04-01-2024,Transport,Expense,11058,Man,Self
04-01-2024,Medical_Expenses,Expense,8120,Shared,Children
04-01-2024,Emergency_Fund,Expense,11452,Man,Self
04-01-2024,Mutual_Funds_Stocks,Expense,9797,Man,Self
04-01-2024,Fixed_Deposits_Gold,Expense,8753,Spouse,Spouse
04-01-2024,Children_Education,Expense,6633,Man,Self
04-01-2024,Children_Activities,Expense,6318,Spouse,Spouse
05-01-2024,Freelance_Income,Income,6883,Man,Self
05-01-2024,Interest_Dividends,Income,4751,Man,Self
05-01-2024,House_Rent,Expense,34180,Man,Self
05-01-2024,Maintenance_Charges,Expense,8384,Man,Self
05-01-2024,Dining_Out_Entertainment,Expense,5935,Spouse,Spouse
05-01-2024,Shopping,Expense,4818,Spouse,Spouse
05-01-2024,Vacations_Travel,Expense,10214,Shared,Children
05-01-2024,Emergency_Fund,Expense,11008,Man,Self
05-01-2024,Children_Activities,Expense,8640,Spouse,Spouse
06-01-2024,Maintenance_Charges,Expense,8933,Man,Self
06-01-2024,Utilities,Expense,3728,Man,Self
06-01-2024,Insurance,Expense,10379,Man,Self
06-01-2024,Groceries_Household,Expense,8586,Spouse,Spouse
06-01-2024,Dining_Out_Entertainment,Expense,11840,Spouse,Spouse
06-01-2024,Medical_Expenses,Expense,8103,Shared,Children
06-01-2024,Vacations_Travel,Expense,3211,Shared,Children
06-01-2024,Mutual_Funds_Stocks,Expense,7255,Man,Self
06-01-2024,Children_Activities,Expense,7205,Spouse,Spouse
07-01-2024,Maintenance_Charges,Expense,5756,Man,Self
07-01-2024,Insurance,Expense,4451,Man,Self
07-01-2024,Dining_Out_Entertainment,Expense,4102,Spouse,Spouse
07-01-2024,Shopping,Expense,11719,Spouse,Spouse
07-01-2024,Emergency_Fund,Expense,5338,Man,Self
08-01-2024,Freelance_Income,Income,8080,Man,Self
08-01-2024,Maintenance_Charges,Expense,4689,Man,Self
08-01-2024,Insurance,Expense,6738,Man,Self
08-01-2024,Groceries_Household,Expense,11479,Spouse,Spouse
08-01-2024,Dining_Out_Entertainment,Expense,2591,Spouse,Spouse
08-01-2024,Vacations_Travel,Expense,8736,Shared,Children
08-01-2024,Emergency_Fund,Expense,4039,Man,Self
08-01-2024,Mutual_Funds_Stocks,Expense,7569,Man,Self
08-01-2024,Fixed_Deposits_Gold,Expense,2293,Spouse,Spouse
08-01-2024,Children_Education,Expense,4459,Man,Self
08-01-2024,Children_Activities,Expense,8667,Spouse,Spouse
09-01-2024,Medical_Expenses,Expense,10448,Shared,Children
09-01-2024,Emergency_Fund,Expense,6663,Man,Self
09-01-2024,Children_Activities,Expense,10416,Spouse,Spouse
10-01-2024,Freelance_Income,Income,10934,Man,Self
10-01-2024,House_Rent,Expense,11502,Man,Self
10-01-2024,Utilities,Expense,6335,Man,Self
10-01-2024,Insurance,Expense,4549,Man,Self
10-01-2024,Groceries_Household,Expense,4719,Spouse,Spouse
10-01-2024,Fixed_Deposits_Gold,Expense,2288,Spouse,Spouse
10-01-2024,Children_Education,Expense,12984,Man,Self
10-01-2024,Children_Activities,Expense,9461,Spouse,Spouse
11-01-2024,Freelance_Income,Income,7287,Man,Self
11-01-2024,Maintenance_Charges,Expense,3557,Man,Self
11-01-2024,Groceries_Household,Expense,8187,Spouse,Spouse
11-01-2024,Transport,Expense,6719,Man,Self
11-01-2024,Medical_Expenses,Expense,8928,Shared,Children
11-01-2024,Mutual_Funds_Stocks,Expense,11352,Man,Self
11-01-2024,Fixed_Deposits_Gold,Expense,11197,Spouse,Spouse
11-01-2024,Children_Activities,Expense,5580,Spouse,Spouse
12-01-2024,Maintenance_Charges,Expense,5733,Man,Self
12-01-2024,Utilities,Expense,2800,Man,Self
12-01-2024,Insurance,Expense,8872,Man,Self
12-01-2024,Transport,Expense,9783,Man,Self
12-01-2024,Dining_Out_Entertainment,Expense,5046,Spouse,Spouse
12-01-2024,Medical_Expenses,Expense,11586,Shared,Children
12-01-2024,Emergency_Fund,Expense,7495,Man,Self
12-01-2024,Fixed_Deposits_Gold,Expense,3713,Spouse,Spouse
12-01-2024,Children_Education,Expense,10261,Man,Self
12-01-2024,Children_Activities,Expense,7664,Spouse,Spouse
13-01-2024,House_Rent,Expense,3892,Man,Self
13-01-2024,Maintenance_Charges,Expense,6564,Man,Self
13-01-2024,Utilities,Expense,5944,Man,Self
13-01-2024,Groceries_Household,Expense,5169,Spouse,Spouse
13-01-2024,Transport,Expense,7124,Man,Self
13-01-2024,Dining_Out_Entertainment,Expense,2369,Spouse,Spouse
13-01-2024,Shopping,Expense,7077,Spouse,Spouse
13-01-2024,Vacations_Travel,Expense,6799,Shared,Children
13-01-2024,Mutual_Funds_Stocks,Expense,7245,Man,Self
13-01-2024,Fixed_Deposits_Gold,Expense,9030,Spouse,Spouse
13-01-2024,Children_Activities,Expense,3433,Spouse,Spouse
14-01-2024,House_Rent,Expense,2303,Man,Self
14-01-2024,Maintenance_Charges,Expense,8095,Man,Self
14-01-2024,Insurance,Expense,2243,Man,Self
14-01-2024,Groceries_Household,Expense,6281,Spouse,Spouse
14-01-2024,Transport,Expense,5352,Man,Self
14-01-2024,Medical_Expenses,Expense,2511,Shared,Children
14-01-2024,Shopping,Expense,4392,Spouse,Spouse
14-01-2024,Vacations_Travel,Expense,11990,Shared,Children
14-01-2024,Emergency_Fund,Expense,6394,Man,Self
14-01-2024,Mutual_Funds_Stocks,Expense,7322,Man,Self
14-01-2024,Children_Education,Expense,11435,Man,Self
14-01-2024,Children_Activities,Expense,4538,Spouse,Spouse
15-01-2024,Freelance_Income,Income,5910,Man,Self
15-01-2024,House_Rent,Expense,6452,Man,Self
15-01-2024,Groceries_Household,Expense,4754,Spouse,Spouse
15-01-2024,Dining_Out_Entertainment,Expense,9678,Spouse,Spouse
15-01-2024,Medical_Expenses,Expense,10838,Shared,Children
15-01-2024,Emergency_Fund,Expense,3065,Man,Self
15-01-2024,Fixed_Deposits_Gold,Expense,8813,Spouse,Spouse
15-01-2024,Children_Education,Expense,5636,Man,Self
16-01-2024,House_Rent,Expense,5343,Man,Self
16-01-2024,Maintenance_Charges,Expense,6252,Man,Self
16-01-2024,Insurance,Expense,7801,Man,Self
16-01-2024,Groceries_Household,Expense,4470,Spouse,Spouse
16-01-2024,Transport,Expense,7375,Man,Self
16-01-2024,Emergency_Fund,Expense,2651,Man,Self
16-01-2024,Mutual_Funds_Stocks,Expense,5789,Man,Self
16-01-2024,Fixed_Deposits_Gold,Expense,10966,Spouse,Spouse
16-01-2024,Children_Education,Expense,5964,Man,Self
17-01-2024,Freelance_Income,Income,10609,Man,Self
17-01-2024,Maintenance_Charges,Expense,7732,Man,Self
17-01-2024,Utilities,Expense,5996,Man,Self
17-01-2024,Insurance,Expense,11233,Man,Self
17-01-2024,Emergency_Fund,Expense,9683,Man,Self
17-01-2024,Mutual_Funds_Stocks,Expense,10184,Man,Self
17-01-2024,Fixed_Deposits_Gold,Expense,5515,Spouse,Spouse
17-01-2024,Children_Activities,Expense,3580,Spouse,Spouse
18-01-2024,Freelance_Income,Income,9480,Man,Self
18-01-2024,Maintenance_Charges,Expense,10344,Man,Self
18-01-2024,Insurance,Expense,6494,Man,Self
